Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1463604667,1.53316,0.183777,-1.03377,1.21508,4.07687,2.0018,1.46295,3.47221
1463604669,1.02054,0.519566,-1.07702,0.645781,4.19181,2.03996,1.17841,2.985
1463604671,0.252809,0.354057,-1.68623,0.253156,4.31473,2.03528,1.20986,3.32923
1463604673,0.505491,-0.0594635,-1.53853,-0.183085,3.54628,1.76096,1.40782,4.06264
1463604675,0.825551,-0.153672,-2.35758,0.139061,4.02477,2.0768,1.65008,4.06084
1463604677,0.688813,0.170128,-2.1363,0.499399,4.1271,2.3036,1.2781,4.49933
1463604679,0.754359,0.654735,-2.65391,0.184132,3.78278,1.9093,0.890482,3.08282
1463604681,0.331791,-0.421085,-2.25886,-0.301415,4.09987,1.84841,1.58828,3.51499
1463604683,1.05316,-0.315408,-2.4531,0.15812,4.1551,1.53767,1.47333,3.23599
1463604685,0.19334,-0.587213,-2.64773,0.435313,3.85412,1.62306,0.701441,3.84727
1463604687,1.27318,-0.252983,-1.91649,0.416228,3.76435,1.48252,1.10972,3.15529
1463604689,0.9834,-0.520719,-1.50787,0.700154,3.61149,1.58777,1.68793,3.07616
1463604691,0.208584,-1.0389,-1.6641,0.555232,2.60585,0.977521,1.1798,2.93458
1463604693,0.722565,-1.24597,-1.92526,0.513576,2.41988,0.435424,1.87741,2.81681
1463604695,0.529622,-0.925508,-1.85764,1.42087,2.84695,0.580174,2.23943,2.96109
1463604697,0.44624,-1.45546,-2.16264,0.602295,3.12847,1.06141,1.27676,2.74311
1463604699,0.0718032,-1.17755,-3.23881,0.800566,2.49673,0.436079,1.63678,3.0173
1463604701,-0.0834854,-0.733546,-1.60696,0.46447,2.77605,0.441769,1.81482,2.96118
1463604703,0.347498,-0.535736,-1.84166,0.357767,2.71638,0.348462,1.48699,3.25646
1463604705,0.483268,-0.347331,-2.7303,0.399826,2.52762,0.117746,1.56,3.76598
1463604707,0.0613556,-0.563687,-2.69497,0.31537,1.67816,-0.0845432,1.22179,2.85318
1463604709,0.229066,-0.425435,-2.29662,0.171572,2.09419,0.312503,1.64106,2.6507
1463604711,-0.209138,-0.771951,-2.6699,-0.578321,2.90793,0.229291,1.01239,3.34963
1463604713,0.124318,-0.548813,-2.43589,-0.089841,2.2859,0.885218,1.87506,2.23671
1463604715,0.442394,-0.888374,-1.97775,-0.0387926,2.83368,1.02249,1.36205,1.85321
1463604717,-0.264365,-1.43092,-2.12371,0.494325,2.89447,0.857241,1.23619,2.54198
1463604719,0.129037,-1.82151,-1.73428,0.660169,2.47386,0.996271,1.72168,2.01689
1463604721,-0.360272,-2.22659,-1.29301,0.16056,2.82117,1.11021,1.0413,1.71149
1463604723,0.44679,-1.66661,-1.72373,0.599861,2.97524,1.29677,1.5547,1.42244
1463604725,-0.683046,-2.21935,-1.3231,0.378571,3.12448,2.10003,1.3558,2.16793
1463604727,-0.820745,-2.28718,-0.569272,0.160392,2.71845,2.51159,1.78652,1.47328
1463604729,0.0784009,-2.41111,-0.495091,0.329746,3.30722,2.75439,0.950174,1.62291
1463604731,0.249659,-2.17751,-1.18879,0.413076,3.75917,3.27964,0.929122,1.88724
1463604733,-0.0882801,-1.99766,0.0278564,0.66593,3.58919,2.97458,0.984314,2.15002
1463604735,-0.902253,-2.24527,0.621405,0.186483,3.53053,3.57124,1.5032,1.05211
1463604737,-0.981052,-2.06438,-1.40663,0.0648778,3.26756,3.55335,1.36297,0.481693
1463604739,-0.781494,-2.0546,-0.622502,-0.452736,3.10667,3.57587,1.0294,0.489121
1463604741,-0.58586,-1.64148,-0.778331,-0.114999,3.31818,3.29461,1.28771,0.481998
1463604743,-0.771705,-2.0046,-1.15271,0.228301,2.92227,3.3063,1.12498,-0.252284
1463604745,-0.206068,-1.35337,-0.187591,-0.128195,2.9346,3.0717,2.06338,1.10858
1463604747,0.282102,-0.996253,-0.139913,0.237627,2.45878,2.89111,1.79057,1.21925
1463604749,0.232989,-1.56084,0.748812,0.0114396,2.57109,2.58917,1.62258,1.86974
1463604751,-0.0883648,-1.70084,-1.42314,-0.357816,3.17357,3.06634,1.59808,1.05548
1463604753,0.197439,-1.92187,-0.703108,-0.251771,2.82202,3.06219,1.21711,1.08938
1463604755,-0.415548,-1.73048,-1.06733,-0.16072,3.00903,2.47343,1.55605,1.79937
1463604757,-0.581189,-1.73865,-1.18652,-0.293393,2.92075,2.63041,1.30239,0.827183
1463604759,-0.87401,-1.6875,-1.81205,-0.420412,3.59828,3.36964,1.04132,1.47186
1463604761,0.160993,-1.65372,-1.66916,-0.0573378,2.87726,3.42275,1.35097,2.42063
1463604763,0.227489,-1.68166,-1.61762,-0.215973,3.08975,3.13789,1.0545,2.15302
1463604765,-0.439657,-2.18267,-1.36517,-0.100287,3.05612,2.91626,1.27931,1.82267
1463604767,0.402767,-1.93772,-1.34996,0.194923,3.20733,2.43705,0.931677,1.87979
1463604769,-0.108007,-2.47531,-0.981236,0.448441,3.45797,2.50591,1.27549,2.85668
1463604771,-0.0653841,-1.99877,-0.937248,0.241527,3.4877,2.41183,1.54255,3.13062
1463604773,0.128345,-2.32378,-1.80039,0.196375,4.03978,2.99432,1.7272,2.3899
1463604775,0.308831,-1.85855,-1.49513,-0.315057,4.08863,3.26282,1.31663,2.11977
1463604777,-0.0252907,-1.49279,-2.30664,-0.26121,3.86795,2.43884,1.10344,2.61165
1463604779,0.131348,-1.98464,-1.6109,-0.396969,3.37198,2.88806,0.909304,2.46058
1463604781,0.391178,-1.35917,-2.17514,-0.694952,3.70488,2.75411,1.49707,2.32872
1463604783,0.893327,-0.974981,-1.80032,-0.257562,3.54476,2.79961,1.34362,3.25932
1463604785,0.616852,-1.68619,-1.528,-0.287393,3.69901,2.41793,1.14032,2.99069
1463604787,0.367583,-2.43219,-1.83015,-0.36407,3.58266,2.866,1.18168,2.75798
1463604789,0.297839,-1.96189,-1.54927,-0.171068,3.49228,2.61386,1.28035,2.79275
1463604791,0.270899,-2.1348,-1.77312,-0.175033,3.96574,2.6526,1.44122,2.66613
1463604793,-0.185888,-2.45773,-1.84738,0.486921,3.68465,2.50555,1.57016,2.08487
1463604795,-0.403542,-1.16103,-2.35254,-0.392272,3.82951,2.40235,1.13688,2.57974
1463604797,-0.35447,-1.47952,-1.84031,-0.216002,3.63935,1.93526,1.26404,3.41204
1463604799,-0.0616858,-1.44365,-1.39639,-0.249598,3.30279,1.88228,1.12709,4.79126
1463604801,-0.470593,-1.93311,-2.09267,-0.0596492,3.58077,2.42798,1.40535,3.95873
1463604803,-0.377289,-1.9572,-2.19411,-0.007465,3.45548,2.5636,0.941435,3.33524
1463604805,0.5712,-2.04992,-1.93387,-0.218104,3.41196,2.2214,0.84737,3.02126
1463604807,-0.153081,-1.96078,-2.55499,-0.461463,3.98184,1.76561,1.23985,2.68247
1463604809,0.328839,-1.27857,-2.26892,-0.415336,3.40078,1.93763,0.989382,3.31829
1463604811,0.107164,-1.38933,-2.50434,-0.506404,3.60596,1.40342,1.76792,2.93502
1463604813,0.702289,-1.8048,-1.95277,-0.352713,3.02849,1.37709,2.20789,2.7891
1463604815,0.0723424,-1.21013,-2.30595,-0.645236,3.13555,1.46977,1.88951,2.94564
1463604817,0.18882,-1.43135,-2.27409,-0.64735,2.77172,1.46191,1.54527,3.33716
1463604819,0.278407,-1.38082,-2.51576,-0.957644,2.56914,1.17094,1.25954,2.48987
1463604821,0.138221,-1.54084,-2.39088,-0.7026,2.66405,0.90568,1.15618,2.36766
1463604823,0.0203927,-1.55763,-2.4213,-0.270334,2.90419,1.42694,1.33257,2.53571
1463604825,0.490185,-1.37518,-1.45804,-0.77668,2.90534,1.61998,1.69173,2.77135
1463604827,-0.00230343,-1.73333,-1.44122,-0.0325063,3.15987,1.91058,1.8906,3.05403
1463604829,0.0323984,-1.53973,-1.45691,-0.621713,2.86511,1.67783,1.74576,3.59884
1463604831,0.0133827,-1.82182,-1.37112,-0.454308,3.17094,1.53367,2.02565,3.24221
1463604833,-0.209528,-1.54813,-1.58645,-0.18835,3.24815,1.4435,1.41655,1.83072
1463604835,-0.315609,-1.69457,-2.06605,0.223948,3.34067,1.75474,1.00723,1.70183
1463604837,-0.150994,-2.36027,-1.5651,0.233526,3.07567,1.67501,0.570099,1.99978
1463604839,-0.0742926,-2.0827,-1.49422,0.687557,2.85804,2.09477,1.41372,1.69009
1463604841,-0.604815,-1.57933,-1.22177,0.168397,3.34987,2.32826,1.51569,1.41309
1463604843,-0.32045,-1.70885,-1.40541,0.0262596,3.44111,2.32193,1.70732,1.37561
1463604845,-1.17837,-2.20693,-1.36535,-0.113531,2.94017,2.17476,1.74198,1.60548
1463604847,-0.42004,-2.20767,-1.60798,-0.709709,3.00609,1.48153,1.3434,1.97416
1463604849,-0.747092,-1.73531,-1.89406,-0.855626,2.46411,1.77171,1.21974,1.11145
